Placa,Clase,Marca,A¤o de fabricaci¢n del taxi,Categor¡a,Tipo taxi
TA-001005,Taxi Alajuela,Toyota,2013,Automovil,Sedan
TA-001006,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001007,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-001008,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-001009,Taxi Alajuela,Hyundai,2013,Automovil,Sedan
TA-001010,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001011,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-001013,Taxi Alajuela,Hyundai,2003,Automovil,Sedan
TA-001014,Taxi Alajuela,Nissan,2006,Automovil,Sedan
TA-001015,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-001016,Taxi Alajuela,Nissan,2005,Automovil,Sedan
TA-001017,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001018,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-001020,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001021,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-001022,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001023,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-001024,Taxi Alajuela,Toyota,2005,Carga liviana,Rural
TA-001025,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001026,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-001027,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-001028,Taxi Alajuela,Daihatsu,2008,Automovil,Rural
TA-001029,Taxi Alajuela,Daihatsu,2005,Automovil,Rural
TA-001031,Taxi Alajuela,Nissan,2011,Carga liviana,Rural
TA-001032,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-001033,Taxi Alajuela,Greatwall,2012,Automovil,Sedan
TA-001034,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-001035,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-001036,Taxi Alajuela,Nissan,2011,Carga liviana,Rural
TA-001037,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001038,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001039,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-001040,Taxi Alajuela,Toyota,2013,Automovil,Sedan
TA-001041,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001042,Taxi Alajuela,Hyundai,2008,Automovil,Sedan
TA-001043,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001044,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001045,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001046,Taxi Alajuela,Toyota,2014,Automovil,Sedan
TA-001048,Taxi Alajuela,Hyundai,2015,Automovil,Sedan
TA-001049,Taxi Alajuela,Nissan,2012,Carga liviana,Rural
TA-001050,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001051,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-001052,Taxi Alajuela,Daihatsu,2007,Automovil,Rural
TA-001053,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001054,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001055,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001056,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001057,Taxi Alajuela,Daihatsu,2004,Automovil,Rural
TA-001058,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-001059,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001060,Taxi Alajuela,Dfm,2016,Automovil,Sedan
TA-001061,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001062,Taxi Alajuela,Hyundai,2008,Automovil,Sedan
TA-001063,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-001064,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-001065,Taxi Alajuela,Toyota,2015,Automovil,Sedan
TA-001066,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001067,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-001068,Taxi Alajuela,Faw,2017,Automovil,Sedan
TA-001069,Taxi Alajuela,Toyota,1995,Automovil,Sedan
TA-001070,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001071,Taxi Alajuela,Mitsubishi,2011,Carga liviana,Rural
TA-001072,Taxi Alajuela,Mitsubishi,2008,Automovil,Rural
TA-001074,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001075,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001076,Taxi Alajuela,Toyota,2005,Taxi,Sedan
TA-001077,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001078,Taxi Alajuela,Toyota,2013,Automovil,Sedan
TA-001079,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-001080,Taxi Alajuela,Nissan,2006,Automovil,Sedan
TA-001081,Taxi Alajuela,Toyota,2018,Automovil,Sedan
TA-001082,Taxi Alajuela,Hyundai,2009,Automovil,Sedan
TA-001083,Taxi Alajuela,Toyota,2014,Automovil,Sedan
TA-001084,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001085,Taxi Alajuela,Toyota,1996,Automovil,Sedan
TA-001086,Taxi Alajuela,Hyundai,2007,Automovil,Sedan
TA-001087,Taxi Alajuela,Hyundai,2010,Automovil,Sedan
TA-001088,Taxi Alajuela,Hyundai,1992,Automovil,Sedan
TA-001089,Taxi Alajuela,Hyundai,2007,Automovil,Sedan
TA-001090,Taxi Alajuela,Suzuki,1997,Automovil,Rural
TA-001091,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-001092,Taxi Alajuela,Hyundai,2009,Automovil,Sedan
TA-001093,Taxi Alajuela,Nissan,2013,Automovil,Sedan
TA-001094,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001095,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-001096,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001097,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001098,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-001100,Taxi Alajuela,Suzuki,2008,Automovil,Adaptado
TA-001101,Taxi Alajuela,Toyota,2006,Autobus,Sedan
TA-001102,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001103,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001104,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001105,Taxi Alajuela,Nissan,2014,Automovil,Sedan
TA-001106,Taxi Alajuela,Hyundai,2008,Automovil,Sedan
TA-001107,Taxi Alajuela,Toyota,2013,Carga liviana,Rural
TA-001108,Taxi Alajuela,Hyundai,2010,Automovil,Sedan
TA-001109,Taxi Alajuela,Nissan,1994,Automovil,Sedan
TA-001110,Taxi Alajuela,Hyundai,2013,Automovil,Sedan
TA-001111,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-001112,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-001113,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001114,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-001115,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-001116,Taxi Alajuela,Mitsubishi,2007,Carga liviana,Rural
TA-001117,Taxi Alajuela,Mitsubishi,2012,Carga liviana,Rural
TA-001118,Taxi Alajuela,Hyundai,2008,Automovil,Sedan
TA-001119,Taxi Alajuela,Mitsubishi,2009,Carga liviana,Rural
TA-001121,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001122,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001124,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-001125,Taxi Alajuela,Daihatsu,2010,Automovil,Rural
TA-001126,Taxi Alajuela,Hyundai,2011,Automovil,Sedan
TA-001128,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001129,Taxi Alajuela,Mitsubishi,2012,Carga liviana,Rural
TA-001130,Taxi Alajuela,Hyundai,2010,Automovil,Sedan
TA-001132,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001133,Taxi Alajuela,Chevrolet,1999,Automovil,Rural
TA-001134,Taxi Alajuela,Hyundai,2009,Automovil,Sedan
TA-001135,Taxi Alajuela,Ford,2010,Automovil,Rural
TA-001136,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-001137,Taxi Alajuela,Daihatsu,2012,Automovil,Rural
TA-001138,Taxi Alajuela,Toyota,2003,Automovil,Sedan
TA-001139,Taxi Alajuela,Hyundai,2013,Automovil,Sedan
TA-001140,Taxi Alajuela,Toyota,2005,Taxi,Sedan
TA-001141,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001142,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-001143,Taxi Alajuela,Nissan,2017,Automovil,Sedan
TA-001144,Taxi Alajuela,Hyundai,2006,Automovil,Rural
TA-001145,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001146,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001147,Taxi Alajuela,Greatwall,2008,Automovil,Rural
TA-001148,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-001149,Taxi Alajuela,Toyota,2004,Carga liviana,Rural
TA-001150,Taxi Alajuela,Hyundai,2012,Automovil,Sedan
TA-001151,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001152,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001153,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001154,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-001155,Taxi Alajuela,Hyundai,2000,Automovil,Sedan
TA-001156,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001157,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001158,Taxi Alajuela,Hyundai,2015,Automovil,Sedan
TA-001159,Taxi Alajuela,Hyundai,2009,Automovil,Sedan
TA-001162,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001163,Taxi Alajuela,Toyota,2009,Carga liviana,Rural
TA-001164,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-001165,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-001166,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001167,Taxi Alajuela,Greatwall,2017,Automovil,Sedan
TA-001168,Taxi Alajuela,Hyundai,1997,Automovil,Sedan
TA-001169,Taxi Alajuela,Daihatsu,2009,Automovil,Rural
TA-001170,Taxi Alajuela,Nissan,2003,Automovil,Sedan
TA-001171,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-001172,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001173,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001174,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-001175,Taxi Alajuela,Peugeot,2015,Automovil,Adaptado
TA-001176,Taxi Alajuela,Daihatsu,2004,Taxi,Rural
TA-001177,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-001178,Taxi Alajuela,Mitsubishi,2016,Automovil,Sedan
TA-001179,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-001180,Taxi Alajuela,Hyundai,2009,Automovil,Sedan
TA-001181,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001182,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-001183,Taxi Alajuela,Toyota,2007,Automovil,Rural
TA-001184,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-001185,Taxi Alajuela,Daihatsu,2011,Automovil,Rural
TA-001187,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001188,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-001189,Taxi Alajuela,Nissan,2011,Automovil,Sedan
TA-001190,Taxi Alajuela,Toyota,2013,Automovil,Sedan
TA-001191,Taxi Alajuela,Toyota,2008,Carga liviana,Rural
TA-001192,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001193,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-001194,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001195,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-001196,Taxi Alajuela,Nissan,2005,Automovil,Sedan
TA-001197,Taxi Alajuela,Hyundai,2009,Automovil,Sedan
TA-001198,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001199,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001200,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001201,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-001202,Taxi Alajuela,Hyundai,2001,Automovil,Sedan
TA-001203,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-001204,Taxi Alajuela,Nissan,2006,Automovil,Sedan
TA-001205,Taxi Alajuela,Mitsubishi,2007,Carga liviana,Rural
TA-001206,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-001207,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-001208,Taxi Alajuela,Toyota,2014,Automovil,Sedan
TA-001210,Taxi Alajuela,Mitsubishi,2006,Automovil,Rural
TA-001211,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-001212,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001213,Taxi Alajuela,Hyundai,2010,Automovil,Sedan
TA-001214,Taxi Alajuela,Hyundai,2011,Automovil,Sedan
TA-001215,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-001216,Taxi Alajuela,Toyota,2006,Microbus,Adaptado
TA-001217,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001218,Taxi Alajuela,Daihatsu,2005,Automovil,Rural
TA-001219,Taxi Alajuela,Hyundai,2000,Automovil,Sedan
TA-001220,Taxi Alajuela,Daihatsu,2012,Automovil,Rural
TA-001221,Taxi Alajuela,Hyundai,2013,Automovil,Sedan
TA-001223,Taxi Alajuela,Toyota,2003,Automovil,Sedan
TA-001224,Taxi Alajuela,Mitsubishi,2008,Automovil,Rural
TA-001225,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001227,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001228,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-001229,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-001230,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-001231,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-001232,Taxi Alajuela,Mitsubishi,2008,Carga liviana,Rural
TA-001233,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-001234,Taxi Alajuela,Mitsubishi,2008,Automovil,Rural
TA-001235,Taxi Alajuela,Hyundai,2007,Automovil,Sedan
TA-001236,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-001237,Taxi Alajuela,Nissan,2016,Automovil,Sedan
TA-001238,Taxi Alajuela,Toyota,2018,Carga liviana,Rural
TA-001239,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001240,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-001242,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001243,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001244,Taxi Alajuela,Daihatsu,2005,Automovil,Rural
TA-001245,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-001246,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001247,Taxi Alajuela,Hyundai,2011,Automovil,Sedan
TA-001248,Taxi Alajuela,Hyundai,2013,Automovil,Sedan
TA-001249,Taxi Alajuela,Hyundai,2013,Automovil,Sedan
TA-001250,Taxi Alajuela,Mitsubishi,2009,Carga liviana,Rural
TA-001251,Taxi Alajuela,Toyota,2004,Taxi,Sedan
TA-001252,Taxi Alajuela,Daihatsu,2005,Automovil,Rural
TA-001253,Taxi Alajuela,Mitsubishi,2006,Carga liviana,Rural
TA-001254,Taxi Alajuela,Toyota,2005,Automovil,Rural
TA-001255,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-001256,Taxi Alajuela,Hyundai,2011,Automovil,Sedan
TA-001257,Taxi Alajuela,Daihatsu,2004,Automovil,Rural
TA-001258,Taxi Alajuela,Hyundai,2012,Automovil,Sedan
TA-001260,Taxi Alajuela,Hyundai,2013,Automovil,Sedan
TA-001261,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-001263,Taxi Alajuela,Hyundai,2013,Automovil,Sedan
TA-001264,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-001266,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001267,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-001268,Taxi Alajuela,Daihatsu,2009,Automovil,Rural
TA-001270,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001271,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001272,Taxi Alajuela,Hyundai,2011,Automovil,Sedan
TA-001273,Taxi Alajuela,Mitsubishi,2012,Carga liviana,Rural
TA-001274,Taxi Alajuela,Mitsubishi,2006,Carga liviana,Rural
TA-001275,Taxi Alajuela,Daihatsu,2008,Automovil,Rural
TA-001276,Taxi Alajuela,Hyundai,2002,Automovil,Sedan
TA-001277,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001278,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-001280,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-001281,Taxi Alajuela,Greatwall,2016,Carga liviana,Rural
TA-001282,Taxi Alajuela,Nissan,2008,Carga liviana,Rural
TA-001283,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-001284,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-001285,Taxi Alajuela,Toyota,2015,Automovil,Sedan
TA-001286,Taxi Alajuela,Mitsubishi,2010,Carga liviana,Rural
TA-001287,Taxi Alajuela,Toyota,2014,Automovil,Sedan
TA-001288,Taxi Alajuela,Toyota,2006,Carga liviana,Rural
TA-001289,Taxi Alajuela,Nissan,2011,Automovil,Sedan
TA-001290,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001291,Taxi Alajuela,Mahindra,2004,Automovil,Rural
TA-001292,Taxi Alajuela,Mitsubishi,2008,Carga liviana,Rural
TA-001293,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001294,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-001295,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001296,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-001298,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-001299,Taxi Alajuela,Hyundai,2011,Automovil,Sedan
TA-001300,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001301,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-001302,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001303,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-001304,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-001305,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-001306,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001307,Taxi Alajuela,Toyota,2009,Automovil,Rural
TA-001308,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001309,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001310,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-001311,Taxi Alajuela,Hyundai,2015,Automovil,Sedan
TA-001312,Taxi Alajuela,Toyota,2007,Automovil,Rural
TA-001313,Taxi Alajuela,Gonow,2007,Automovil,Rural
TA-001314,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001315,Taxi Alajuela,Toyota,2006,Automovil,Sedan
TA-001316,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001317,Taxi Alajuela,Greatwall,2008,Carga liviana,Rural
TA-001318,Taxi Alajuela,Mitsubishi,2007,Automovil,Rural
TA-001319,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001320,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001321,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-001322,Taxi Alajuela,Chevrolet,2011,Automovil,Sedan
TA-001323,Taxi Alajuela,Suzuki,1996,Automovil,Rural
TA-001324,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001325,Taxi Alajuela,Nissan,2009,Automovil,Adaptado
TA-001326,Taxi Alajuela,Hyundai,2002,Automovil,Sedan
TA-001327,Taxi Alajuela,Toyota,2008,Carga liviana,Rural
TA-001328,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001329,Taxi Alajuela,Toyota,2014,Automovil,Sedan
TA-001330,Taxi Alajuela,Hyundai,2003,Automovil,Sedan
TA-001331,Taxi Alajuela,Greatwall,2008,Carga liviana,Rural
TA-001332,Taxi Alajuela,Hyundai,2009,Automovil,Sedan
TA-001333,Taxi Alajuela,Nissan,2011,Carga liviana,Rural
TA-001334,Taxi Alajuela,Daihatsu,2006,Automovil,Rural
TA-001335,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001336,Taxi Alajuela,Daihatsu,2007,Automovil,Rural
TA-001337,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001339,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001340,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001341,Taxi Alajuela,Toyota,2013,Automovil,Sedan
TA-001342,Taxi Alajuela,Toyota,2014,Carga liviana,Rural
TA-001343,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001344,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-001345,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-001347,Taxi Alajuela,Toyota,2011,Automovil,Sedan
TA-001348,Taxi Alajuela,Mitsubishi,2008,Carga liviana,Rural
TA-001349,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-001350,Taxi Alajuela,Toyota,2004,Automovil,Sedan
TA-001351,Taxi Alajuela,Hyundai,1997,Automovil,Adaptado
TA-001352,Taxi Alajuela,Hyundai,2011,Automovil,Sedan
TA-001353,Taxi Alajuela,Daihatsu,2016,Automovil,Rural
TA-001354,Taxi Alajuela,Hyundai,2007,Automovil,Rural
TA-001355,Taxi Alajuela,Hyundai,1994,Taxi ( transporte de discapacitados ),Adaptado
TA-001356,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001358,Taxi Alajuela,Daihatsu,2006,Automovil,Rural
TA-001359,Taxi Alajuela,Toyota,2000,Automovil,Sedan
TA-001360,Taxi Alajuela,Toyota,2009,Microbus,Adaptado
TA-001363,Taxi Alajuela,Mitsubishi,2008,Automovil,Adaptado
TA-001364,Taxi Alajuela,Toyota,2017,Automovil,Sedan
TA-001365,Taxi Alajuela,Toyota,2017,Carga liviana,Rural
TA-001366,Taxi Alajuela,Hyundai,2010,Automovil,Sedan
TA-001367,Taxi Alajuela,Mitsubishi,2007,Carga liviana,Rural
TA-001368,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-001370,Taxi Alajuela,Hyundai,2010,Automovil,Adaptado
TA-001371,Taxi Alajuela,Peugeot,2004,Taxi ( transporte de discapacitados ),Adaptado
TA-001372,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001373,Taxi Alajuela,Mitsubishi,2009,Carga liviana,Rural
TA-001374,Taxi Alajuela,Peugeot,2004,Taxi ( transporte de discapacitados ),Adaptado
TA-001376,Taxi Alajuela,Isuzu,2017,Carga liviana,Rural
TA-001377,Taxi Alajuela,Toyota,2017,Carga liviana,Rural
TA-001378,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-001379,Taxi Alajuela,Peugeot,2008,Automovil,Adaptado
TA-001380,Taxi Alajuela,Dfm,2018,Automovil,Sedan
TA-001381,Taxi Alajuela,Peugeot,2004,Automovil,Adaptado
TA-001382,Taxi Alajuela,Peugeot,2004,Taxi ( transporte de discapacitados ),Adaptado
TA-001383,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-001384,Taxi Alajuela,Mitsubishi,2006,Microbus,Adaptado
TA-001386,Taxi Alajuela,Daihatsu,2012,Automovil,Rural
TA-001387,Taxi Alajuela,Mitsubishi,2006,Microbus,Adaptado
TA-001388,Taxi Alajuela,Hyundai,2012,Microbus,Adaptado
TA-001389,Taxi Alajuela,Renault,2002,Automovil,Adaptado
TA-001390,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001391,Taxi Alajuela,Mitsubishi,2007,Automovil,Rural
TA-001393,Taxi Alajuela,Hyundai,2014,Microbus,Adaptado
TA-001394,Taxi Alajuela,Nissan,1997,Automovil,Sedan
TA-001395,Taxi Alajuela,Toyota,2012,Automovil,Sedan
TA-001397,Taxi Alajuela,Toyota,2009,Automovil,Adaptado
TA-001398,Taxi Alajuela,Daihatsu,2016,Automovil,Rural
TA-001399,Taxi Alajuela,Hyundai,2010,Automovil,Sedan
TA-001400,Taxi Alajuela,Peugeot,2011,Automovil,Adaptado
TA-001401,Taxi Alajuela,Toyota,2013,Automovil,Sedan
TA-001402,Taxi Alajuela,Toyota,2010,Automovil,Sedan
TA-001404,Taxi Alajuela,Daihatsu,2005,Taxi,Rural
TA-001405,Taxi Alajuela,Mitsubishi,2016,Carga liviana,Rural
TA-001406,Taxi Alajuela,Hyundai,1999,Automovil,Adaptado
TA-001407,Taxi Alajuela,Hyundai,2006,Automovil,Rural
TA-001408,Taxi Alajuela,Kia,2002,Automovil,Rural
TA-001409,Taxi Alajuela,Toyota,2008,Automovil,Sedan
TA-001410,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001411,Taxi Alajuela,Peugeot,2004,Automovil,Adaptado
TA-001413,Taxi Alajuela,Hyundai,2009,Automovil,Sedan
TA-001415,Taxi Alajuela,Hyundai,2006,Automovil,Sedan
TA-001416,Taxi Alajuela,Toyota,2007,Automovil,Sedan
TA-001417,Taxi Alajuela,Hyundai,2010,Automovil,Sedan
TA-001418,Taxi Alajuela,Toyota,2009,Automovil,Sedan
TA-001419,Taxi Alajuela,Suzuki,2016,Automovil,Adaptado
TA-001420,Taxi Alajuela,Toyota,2005,Taxi,Sedan
TA-001421,Taxi Alajuela,Toyota,2005,Automovil,Sedan
TA-001422,Taxi Alajuela,Toyota,1998,Transporte colectivo interurbano,Rural
TA-001423,Taxi Alajuela,Isuzu,1996,Automovil,Rural
TA-001424,Taxi Alajuela,Hyundai,2002,Taxi ( transporte de discapacitados ),Adaptado
TA-001425,Taxi Alajuela,Toyota,2014,Carga liviana,Rural
TA-001426,Taxi Alajuela,Hyundai,2000,Automovil,Rural
TA-001427,Taxi Alajuela,Toyota,2014,Automovil,Sedan
TA-001428,Taxi Alajuela,Daihatsu,2005,Taxi,Rural
TA-001429,Taxi Alajuela,Daihatsu,2005,Automovil,Rural
TA-001431,Taxi Alajuela,Hyundai,2015,Automovil,Sedan
TA-001432,Taxi Alajuela,Mitsubishi,2010,Carga liviana,Rural
TA-001433,Taxi Alajuela,Fiat,2005,Taxi ( transporte de discapacitados ),Adaptado
TA-001434,Taxi Alajuela,Suzuki,2007,Automovil,Adaptado
TA-001435,Taxi Alajuela,Hyundai,2004,Automovil,Sedan
TA-001436,Taxi Alajuela,Hyundai,2014,Automovil,Adaptado
TA-001437,Taxi Alajuela,Isuzu,2013,Carga liviana,Rural
TA-001439,Taxi Alajuela,Mitsubishi,2007,Automovil,Rural
TA-001440,Taxi Alajuela,Hyundai,2005,Automovil,Sedan
TA-001442,Taxi Alajuela,Hyundai,1999,Automovil,Adaptado
TA-001443,Taxi Alajuela,Toyota,2009,Automovil,Sedan
